"","exposure","coord","chrom_no","chrom","chromStart","chromEnd","no.cpgs","Slk_sidak_p","gene_simple","gene_all","CpG","probe_feature","cg_island","beta_direction","mean_beta","min_beta","max_beta","all_beta","overlap_no"
"1","Wildfire-related","chr1:1067098-1067398",1,"chr1",1067098,1067398,4,0.006961,"","","cg11750929/cg01776299/cg00300303/cg09032281","IGR","opensea","-/-/-/-",-0.00479729256790826,-0.0102727557947035,-0.00144228160010762,"-0.00144228160010762/-0.00478521326260656/-0.0102727557947035/-0.00268891961421537",1
"2","Wildfire-related","chr2:43903469-43903901",2,"chr2",43903469,43903901,7,0.002292,"PLEKHH2","PLEKHH2","cg09325404/cg11267669/cg14230606/cg09132607/cg02111748/cg20563666/cg14454477","Body","opensea","+/+/+/+/+/+/+",0.00779814656151912,0.00354504459956332,0.0135196159431092,"0.00537269532034619/0.00659365263740405/0.0109608814976094/0.00354504459956332/0.00450976199886846/0.0100853739337332/0.0135196159431092",1
"3","Wildfire-related","chr2:135226786-135227040",2,"chr2",135226786,135227040,2,0.00379,"TMEM163","TMEM163","cg24519533/cg18712599","Body","opensea","-/-",-0.00494772246371311,-0.00643839125043552,-0.00345705367699069,"-0.00345705367699069/-0.00643839125043552",1
"4","Wildfire-related","chr3:140813918-140814134",3,"chr3",140813918,140814134,3,0.0001086,"SPSB4","SPSB4","cg07852840/cg23339720/cg20354777","Body","island","+/+/+",0.0102807840537035,0.00471215221431158,0.0158566139961097,"0.00471215221431158/0.0158566139961097/0.0102735859506893",1
"5","Wildfire-related","chr4:903031-903474",4,"chr4",903031,903474,4,2.819e-05,"GAK","GAK","cg01753731/cg14816007/cg03041730/cg14517359","Body","shelf","-/-/-/-",-0.00232157081632029,-0.00308630345278157,-0.00133934957812595,"-0.00133934957812595/-0.00246902449598542/-0.00308630345278157/-0.00239160573838823",1
"6","Wildfire-related","chr4:3704823-3704881",4,"chr4",3704823,3704881,3,0.002865,"","","cg01966532/cg16550757/cg15642673","IGR","opensea","-/-/-",-0.0120344515170518,-0.0154282830148161,-0.00780234714795171,"-0.00780234714795171/-0.0154282830148161/-0.0128727243883878",1
"7","Wildfire-related","chr5:135415692-135416614",5,"chr5",135415692,135416614,16,2.518e-15,"/MIR886","//////MIR886/MIR886/MIR886/MIR886/MIR886/MIR886/MIR886/MIR886/MIR886/MIR886","cg07158503/cg04515200/cg13581155/cg11978884/cg11608150/cg06478886/cg04481923/cg18678645/cg06536614/cg26328633/cg25340688/cg26896946/cg00124993/cg08745965/cg16615357/cg18797653","IGR/IGR/IGR/IGR/IGR/IGR/Body/TSS200/TSS200/TSS200/TSS200/TSS200/TSS200/TSS1500/TSS1500/TSS1500","shore/shore/shore/shore/shore/shore/island/island/island/island/island/island/island/shore/shore/shore","-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-",-0.0235485911510177,-0.0314828837672093,-0.00978043830887713,"-0.0255155292746524/-0.0179550010077709/-0.00978043830887713/-0.0153817767260442/-0.0246973333851345/-0.0201402897473386/-0.0314828837672093/-0.0260682565386826/-0.0267350834658007/-0.0273776702064762/-0.030311434604953/-0.0228895061320779/-0.0256676343497063/-0.0236287018727169/-0.0263279017402673/-0.0228180172885759",1
"8","Wildfire-related","chr6:6534796-6534840",6,"chr6",6534796,6534840,2,0.00447,"LOC285780","LOC285780","cg21120176/cg06501113","Body","opensea","-/-",-0.00459017766395019,-0.00569303468717927,-0.00348732064072111,"-0.00348732064072111/-0.00569303468717927",1
"9","Wildfire-related","chr6:29648160-29648902",6,"chr6",29648160,29648902,20,5.893e-05,"","","cg25978138/cg11747594/cg15708526/cg04071440/cg08022281/cg10648573/cg12644888/cg22494932/cg25699073/cg07134666/cg00588198/cg16885113/cg20228636/cg11383134/cg03198009/cg03449857/cg15570656/cg02157626/cg13835168/cg08041448","IGR","opensea","+/+/+/+/+/+/+/+/+/+/+/+/+/+/+/+/+/+/+/+",0.0121164808014161,0.00399060928118658,0.0215415048532076,"0.00486163718768184/0.0112299963318726/0.0132110890978311/0.00761957859376189/0.00928854327915122/0.00994684902460583/0.00399060928118658/0.010003158363431/0.00953206663079438/0.0210551462251195/0.00906804038808387/0.0127219708152124/0.0130195786223513/0.0183855160810586/0.019026612311896/0.0167264516949257/0.0154678458956258/0.00711686892934942/0.0215415048532076/0.00851655242117526",1
"10","Wildfire-related","chr6:32632936-32633164",6,"chr6",32632936,32633164,8,0.0003336,"HLA-DQB1","HLA-DQB1","cg21588215/cg23967822/cg03403720/cg27196273/cg03202060/cg13047157/cg24593918/cg23464743","Body","island/island/island/island/island/shore/shore/shore","+/+/+/+/+/+/+/+",0.00713810589708628,0.00369582021245175,0.0126968183153788,"0.00369582021245175/0.00451662980879647/0.00410993591650247/0.00500277641315073/0.00950905623938544/0.00796280862937724/0.00961100164164735/0.0126968183153788",1
